"","PLOT_ID","INVENTORY_ID","Province","Study_Area","Class","Subclass","X_UTM","Y_UTM","Huso","Deadwood","YEAR","AGE","ID_SP1","ID_SP2","ID_SP3","N","N_sp_1","N_sp_2","N_sp_3","dbh_mean","dg","Do","G","G_sp_1","G_sp_2","G_sp_3","h_mean","Ho","Canopy_cover","FccTot","slenderness","dominant_slenderness","SDI","S","S_staggered","MARTONNE","MARTONNE_2020","MARTONNE_2040","MARTONNE_2060","MARTONNE_2080"
"9","42_333_A_1","IFN4",42,333,"A","1",500891,4638802,30,0,2019,30,26,21,NA,348.018808894278,206.547748368149,141.471060526129,NA,37.1088617886179,37.5090724526769,43.1681578947368,38.4561007777778,26.0533452222222,12.4027555555556,NA,19.5801625203252,20.4173684210526,80,90,52.7641150296096,47.2972890593091,667.417828539659,26.2542052638998,48.8645819808981,26.9532530204359,25.4317492730788,24.0328575152008,22.9049430764133,21.6688252048994
"10","42_336_A_1","IFN4",42,336,"A","1",503923,4638785,30,0,2019,20,26,21,NA,387.630705841594,302.748069525916,84.8826363156775,NA,35.9980291970803,36.5920853693641,44.1886486486486,40.7645238888889,35.8136377777778,4.95088611111111,NA,18.490364950365,19.5859457621622,80,95,51.3649368112204,44.323477547126,714.431920924083,25.932618224307,48.2660410575596,28.6415623457358,26.4435828702183,24.9467454613143,23.6963189712884,22.4244683982786
"11","42_341_A_4","IFN4",42,341,"A","4",508891,4638792,30,0,2019,20,26,21,NA,189.712692165539,96.2003211577678,93.5123710077714,NA,32.2717375093214,33.4939040832545,38.4446927374302,16.71544,10.456334,6.259106,NA,11.447352715138,12.5117318938547,65,70,35.4717582585428,32.5447571640316,303.370074110668,58.0275690299072,108.001475402228,29.4532951004818,29.5307612426309,27.9024781597635,26.5413974672671,24.9724177756732
"12","42_407_A_1","IFN4",42,407,"A","1",500920,4634801,30,0,2019,14,21,26,NA,459.78094670992,413.802852038928,45.978094670992,NA,10.6880769230769,11.248238323605,13.2181034482759,4.56888125,3.42943125,1.13945,NA,6.09846156615385,6.96551717931035,75,95,57.0585486055634,52.6967972868975,127.599183074016,66.9531704726435,124.613891548267,25.4908946642112,23.9089639209481,22.5811437571773,21.5355735373792,20.3471587864984
"13","42_841_A_1","IFN4",42,841,"A","1",482884,4629802,30,0,2019,20,26,21,NA,737.205696401659,425.969363244175,311.236333157484,NA,23.9262521588946,25.904577748731,38.0532608695652,38.8536298888889,29.9120694722222,8.94156041666667,NA,11.5276721763577,14.8141303478261,85,90,48.1800162424196,38.9299892027764,780.484493729325,24.8616241806521,46.2726965353703,22.7353898627842,20.9699768851054,19.9552573189779,18.9805914020243,17.9915133196956
"14","42_957_A_1","IFN4",42,957,"A","1",500909,4626797,30,0,2019,25,21,26,25,451.858567320457,295.108632257506,142.602829010338,14.1471060526129,28.07639323732,29.0468311007305,37.9650537634409,29.9426284444444,16.1082028888889,12.6354005555556,1.199025,11.6137758437696,12.7612903225806,90,100,41.3649137394621,33.6132549741556,574.886772271551,36.8641437066484,68.6119025200903,25.5068330455946,22.50884787056,21.3617346267603,20.3329633731321,19.1723641655267
"15","9_2146_A_1","IFN4",9,2146,"A","1",475904,4643822,30,0,2018,15,26,21,NA,289.166847715408,151.656976884011,137.509870831398,NA,34.6696673189824,34.9897025668165,39.6301075268817,27.8047428888889,14.1354688888889,13.669274,NA,20.6581212994129,22.2516128172043,90,100,59.5855769521681,56.1482524419362,495.996816665679,26.4279973843647,49.1880455644547,21.0866635444745,20.0379506474225,19.0321986426512,18.0612794001275,17.1728482204984
"16","9_2361_A_1","IFN4",9,2361,"A","1",499892,4643818,30,0,2018,80,21,26,43,319.017241486421,285.630071202255,19.2400642315536,14.1471060526129,29.0436141906874,30.7397632988909,40.9289743589744,23.6758224722222,20.63748425,2.47082711111111,0.567511111111111,14.3437693321508,16.9682050820513,70,80,49.3869985945138,41.4576845567368,444.508197527247,32.9956750389065,61.4118710411206,27.7521228807513,25.2835519897596,23.9484475297406,22.7790432890096,21.5600737898799
"17","9_2361_A_1","IFN4",9,2361,"A","1",499892,4643818,30,0,2018,20,21,26,43,319.017241486421,285.630071202255,19.2400642315536,14.1471060526129,29.0436141906874,30.7397632988909,40.9289743589744,23.6758224722222,20.63748425,2.47082711111111,0.567511111111111,14.3437693321508,16.9682050820513,70,80,49.3869985945138,41.4576845567368,444.508197527247,32.9956750389065,61.4118710411206,27.7521228807513,25.2835519897596,23.9484475297406,22.7790432890096,21.5600737898799
"18","9_2397_A_1","IFN4",9,2397,"A","1",494835,4640828,30,0,2018,99,21,26,43,310.67044891538,246.725529557569,49.7978133051975,14.1471060526129,35.1859744990892,36.1948178067741,44.5896984924623,31.965582,21.413159,9.601798,0.950625,21.1970855191257,22.5738690954774,75,90,60.2429968784134,50.6257495759775,562.644003727326,25.1329822919518,46.7777508892348,27.1991229875643,25.7731125328378,24.417105999803,23.234624191594,21.9190237486608
"19","9_2400_A_1","IFN4",9,2400,"A","1",497870,4640773,30,0,2018,30,21,26,43,399.08986174421,296.664813923293,97.3320896419769,5.09295817894065,33.2608649415101,34.4214142806136,44.7253768844221,37.137956,22.6039288888889,13.6008711111111,0.933156,16.0937964906062,17.0170855527638,70,80,48.3865844105601,38.0479422157556,666.786903986363,29.4157191269122,54.7488223069741,27.7521228807513,26.9437652723388,25.5419786232044,24.2252441932306,22.8677978449058
"20","9_2400_A_1","IFN4",9,2400,"A","1",497870,4640773,30,0,2018,90,21,26,43,399.08986174421,296.664813923293,97.3320896419769,5.09295817894065,33.2608649415101,34.4214142806136,44.7253768844221,37.137956,22.6039288888889,13.6008711111111,0.933156,16.0937964906062,17.0170855527638,70,80,48.3865844105601,38.0479422157556,666.786903986363,29.4157191269122,54.7488223069741,27.7521228807513,26.9437652723388,25.5419786232044,24.2252441932306,22.8677978449058
