"","PLOT_ID","INVENTORY_ID","Province","Study_Area","Class","Subclass","X_UTM","Y_UTM","Huso","Deadwood","YEAR","AGE","ID_SP1","ID_SP2","ID_SP3","N","N_sp_1","N_sp_2","N_sp_3","dbh_mean","dg","Do","G","G_sp_1","G_sp_2","G_sp_3","h_mean","Ho","Canopy_cover","FccTot","slenderness","dominant_slenderness","SDI","S","S_staggered","MARTONNE","MARTONNE_2020","MARTONNE_2040","MARTONNE_2060","MARTONNE_2080"
"191","9_68_A_1","IFN4",9,68,"A","1",448925,4769782,30,0,2018,55,21,43,NA,602.808188901837,302.182185283812,300.626003618025,NA,20.4006571227411,21.1735970805672,30.2407608695652,21.2255187777778,14.4745750277778,6.75094375,NA,11.1070875959869,15.0608695163043,75,100,54.4447540545422,49.8032095861115,461.727598278472,27.0433433666495,50.3333334867411,42.518602072319,45.8459672595091,43.6666006195438,42.0104792002536,40.5963302345305
"192","9_68_A_1","IFN4",9,68,"A","1",448925,4769782,30,0,2018,48,21,43,NA,602.808188901837,302.182185283812,300.626003618025,NA,20.4006571227411,21.1735970805672,30.2407608695652,21.2255187777778,14.4745750277778,6.75094375,NA,11.1070875959869,15.0608695163043,75,100,54.4447540545422,49.8032095861115,461.727598278472,27.0433433666495,50.3333334867411,42.518602072319,45.8459672595091,43.6666006195438,42.0104792002536,40.5963302345305
"193","9_76_A_1","IFN4",9,76,"A","1",448908,4768845,30,0,2018,53,21,43,NA,1167.13624934057,371.361533881089,795.774715459477,NA,14.8693939393939,15.6632933183209,24.5212121212121,22.4893861111111,12.6497111111111,9.839675,NA,10.9187878733333,13.8424242424242,75,100,73.4312905948766,56.4508156203658,551.080683682398,21.1459434167425,39.3570353878373,42.518602072319,42.9850747234731,40.9699768658337,39.5016990866656,38.0732753187351
"194","9_76_A_1","IFN4",9,76,"A","1",448908,4768845,30,0,2018,66,21,43,NA,1167.13624934057,371.361533881089,795.774715459477,NA,14.8693939393939,15.6632933183209,24.5212121212121,22.4893861111111,12.6497111111111,9.839675,NA,10.9187878733333,13.8424242424242,75,100,73.4312905948766,56.4508156203658,551.080683682398,21.1459434167425,39.3570353878373,42.518602072319,42.9850747234731,40.9699768658337,39.5016990866656,38.0732753187351
"1","24_1261_A_1","IFN4",24,1261,"A","1",339920,4724816,30,0,2019,31,21,43,NA,930.172222959299,452.707393683613,477.464829275686,NA,16.8859315589354,17.612897106572,25.6637931034483,22.6628666666667,16.1526041666667,6.5102625,NA,11.4885932038023,13.8172413793103,70,100,68.0364785543796,53.8394356734968,530.185789483742,23.7299581494,44.1664287202422,28.968694533697,28.1177382163361,26.8232618785396,25.879732961442,24.8609078606329
"2","24_2058_A_1","IFN4",24,2058,"A","1",278891,4755795,30,0,2019,30,43,21,NA,905.414787367227,891.267681314614,14.1471060526129,NA,9.84609375,10.2081481700894,12.975,7.410225,6.479,0.931225,NA,4.5937500671875,5.28000007,35,70,46.6555588828057,40.6936421579961,215.037275200059,62.9422523937172,117.148731840848,57.4638866800797,58.6714869351612,56.0549036412983,54.1079562249441,52.0914335404528
"3","24_2058_A_1","IFN4",24,2058,"A","1",278891,4755795,30,0,2019,50,43,21,NA,905.414787367227,891.267681314614,14.1471060526129,NA,9.84609375,10.2081481700894,12.975,7.410225,6.479,0.931225,NA,4.5937500671875,5.28000007,35,70,46.6555588828057,40.6936421579961,215.037275200059,62.9422523937172,117.148731840848,57.4638866800797,58.6714869351612,56.0549036412983,54.1079562249441,52.0914335404528
"4","24_2326_A_1","IFN4",24,2326,"A","1",216025,4713446,29,0,2019,20,21,43,25,1053.95940091966,834.679257104162,190.985931710274,28.2942121052258,21.0265100671141,22.1523795440374,32.2125,40.6213666666667,37.3590493055556,1.77775625,1.48456111111111,11.2657718241611,12.85,70,90,53.5788953478351,39.8913465269693,868.020303872065,23.9709326317504,44.614932768632,50.3808540658202,48.681055082813,46.6106002553133,45.256090638214,43.4670705239132
"5","24_3032_N_N","IFN4",24,3032,"N","N",332892,4731794,30,0,2019,30,21,43,NA,1287.38665078778,1032.73874184074,254.647908947033,NA,15.6418956043956,15.9570252622405,21.3177419354839,25.7455840277778,22.5548590277778,3.190725,NA,10.7293956167582,12.4387096774194,85,100,68.5939600168609,58.3490958613906,626.257787579495,22.4063011021145,41.702825360265,29.1654718742292,29.1092567833758,27.8432864169047,26.7958993386925,25.7158609946672
"6","24_343_A_1","IFN4",24,343,"A","1",309891,4750794,30,0,2019,57,21,43,42,326.515207694306,231.022241839169,63.6619772367581,31.8309886183791,28.1039211438475,30.2047884451676,40.5050847457627,23.3961766388889,21.8062141388889,1.1138625,0.4761,13.3294626516464,16.2350282485876,50,95,47.4291917608961,40.0814573046559,442.314682604815,34.0875073454921,63.4439999407869,37.3584683826832,38.4643511518315,36.7907627334129,35.5381910752852,34.2394447488422
